rank,transformed_feature,original_feature,importance,importance_percentage
1,numeric__cybersecurity_awareness_score,cybersecurity_awareness_score,0.1542412055396587,15.42412055396587
2,numeric__link_click_tendency,link_click_tendency,0.142494638596961,14.2494638596961
3,numeric__phishing_awareness_score,phishing_awareness_score,0.13279160861524492,13.279160861524492
4,numeric__verification_before_click,verification_before_click,0.0989861717938888,9.89861717938888
5,numeric__attachment_open_rate,attachment_open_rate,0.07682890280345583,7.682890280345584
6,numeric__security_quiz_score,security_quiz_score,0.06386107659573038,6.386107659573039
7,categorical__password_manager_usage_Yes,password_manager_usage,0.044952434420947894,4.4952434420947895
8,categorical__password_manager_usage_No,password_manager_usage,0.041204305949660805,4.120430594966081
9,numeric__reporting_suspicious_email,reporting_suspicious_email,0.030340640453079003,3.0340640453079004
10,numeric__daily_email_count,daily_email_count,0.027359164759034958,2.7359164759034957
11,categorical__password_reuse_Yes,password_reuse,0.024932088381674943,2.493208838167494
12,categorical__password_reuse_No,password_reuse,0.024903136245786252,2.4903136245786253
13,categorical__cybersecurity_training_Yes,cybersecurity_training,0.02381329412720943,2.381329412720943
14,categorical__cybersecurity_training_No,cybersecurity_training,0.021990801840944926,2.1990801840944925
15,numeric__password_length,password_length,0.020667568893950085,2.0667568893950086
16,categorical__department_IT,department,0.013444365291544368,1.344436529154437
17,categorical__mfa_enabled_Yes,mfa_enabled,0.010670725009713885,1.0670725009713884
18,categorical__mfa_enabled_No,mfa_enabled,0.009931654427793367,0.9931654427793366
19,numeric__suspicious_email_frequency,suspicious_email_frequency,0.00895098750813928,0.895098750813928
20,numeric__age,age,0.007105125593580426,0.7105125593580426
21,categorical__department_Sales,department,0.004113534634028814,0.4113534634028814
22,categorical__vpn_usage_Yes,vpn_usage,0.002302334874600533,0.23023348746005332
23,categorical__vpn_usage_No,vpn_usage,0.00213670595047399,0.213670595047399
24,categorical__department_Engineering,department,0.001920169349799128,0.1920169349799128
25,categorical__antivirus_installed_Yes,antivirus_installed,0.0011489490919706863,0.11489490919706863
26,categorical__antivirus_installed_No,antivirus_installed,0.0011303702990092962,0.11303702990092962
27,categorical__department_Finance,department,0.0011125506591019793,0.11125506591019793
28,categorical__work_mode_Office,work_mode,0.0010941483790129255,0.10941483790129256
29,categorical__work_mode_Remote,work_mode,0.0010587227498513416,0.10587227498513416
30,categorical__department_Customer Support,department,0.0010503060434987484,0.10503060434987484
31,categorical__work_mode_Hybrid,work_mode,0.0010222474746144938,0.10222474746144937
32,categorical__department_HR,department,0.000908362052138405,0.0908362052138405
33,categorical__department_Marketing,department,0.0007368332274351835,0.07368332274351835
34,categorical__department_Executive,department,0.0006555344374739537,0.06555344374739537
35,categorical__department_Operations,department,0.0001256101778001129,0.012561017780011289
36,categorical__department_Legal,department,1.3723751191149127e-05,0.0013723751191149127
