model,feature_set,fold,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
Random Forest,full,1,0.7809375,0.72610530177949,0.6629815745393635,0.6931091848349532,0.8482752663283182,1.5323033332824707,0.1904289722442627
Random Forest,full,2,0.7773125,0.7226641998149861,0.6542713567839196,0.6867692307692308,0.850187636420721,1.5286674499511719,0.18938875198364258
Random Forest,full,3,0.7883125,0.7372772368179313,0.6721943048576214,0.7032331551739245,0.8555107959204464,1.4956982135772705,0.17487764358520508
Random Forest,full,4,0.777,0.7226548016314424,0.6529313232830821,0.6860260471664906,0.8490683894714516,1.5165200233459473,0.19800233840942383
Random Forest,full,5,0.7875,0.736522539098436,0.6704069670072015,0.7019112747676661,0.8563924708781646,1.4886815547943115,0.1766655445098877
Random Forest,reduced,1,0.77825,0.7228560912771439,0.6579564489112227,0.6888810943528586,0.8488732295575585,1.308333158493042,0.19328927993774414
Random Forest,reduced,2,0.7784375,0.7241634313181734,0.6561139028475712,0.6884612004569821,0.8497546138803022,1.3224966526031494,0.1743147373199463
Random Forest,reduced,3,0.7879375,0.7353424657534247,0.6743718592964824,0.7035386631716907,0.8562781755236802,1.3482551574707031,0.19696760177612305
Random Forest,reduced,4,0.779375,0.7260096331974806,0.6564489112227806,0.6894792399718508,0.8489937223505364,1.3546640872955322,0.18019676208496094
Random Forest,reduced,5,0.7864375,0.7364814814814815,0.6660525875062804,0.6994987248263126,0.8568376043755475,1.354745864868164,0.19215989112854004
