params,param_model__n_estimators,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__gamma,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_train_f1,std_train_f1,mean_fit_time,std_fit_time,mean_score_time,rank_test_f1
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.1, ""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__min_child_weight"": 1, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.85}",150,0.05,6,1,0.1,0.85,1.0,0.5,1.0,1.68,0.7738625000000001,0.0030944506782303073,0.6678847392179238,0.002890062344445819,0.7835917262862069,0.007119443272722386,0.7211200738992691,0.004520841504152678,0.857218513923381,0.003644484242186295,0.7398971494506095,0.0014614812094240093,0.4806710720062256,0.010090595853013225,0.10427813529968262,1
"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.5, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.7}",200,0.05,4,1,0.5,0.7,0.85,0.0,1.0,1.68,0.7734125000000001,0.0037888817611532806,0.6669820158089427,0.0038509233013999875,0.7843622118856439,0.008182818944348929,0.7209158695395665,0.005325231448769863,0.8580236082467039,0.0031977304473207865,0.7283679855452456,0.0011183012446543644,0.4925711631774902,0.02172074623991517,0.10238966941833497,2
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__min_child_weight"": 7, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 1.0}",300,0.08,3,7,0.1,1.0,0.7,0.1,10.0,1.68,0.7734249999999999,0.003835565473303769,0.6671518222398224,0.0038390052972180895,0.7838261984853089,0.008200409564131792,0.7207892417082118,0.0053904513767039156,0.8577948872601961,0.003418861521923859,0.727278741671882,0.001404735903662915,0.4713717460632324,0.009806968863273438,0.10198931694030762,3
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.1, ""model__max_depth"": 5, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 5.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 1.0}",200,0.1,5,3,0.1,1.0,0.7,0.5,5.0,1.68,0.7737,0.003968115106697399,0.6682100464149591,0.003922721557834384,0.7815817433620399,0.008202110207269952,0.720456397786611,0.005574311151686596,0.8569804220724933,0.0034954021360107295,0.7393565836921768,0.0017237230145446707,0.503346061706543,0.09432533550165023,0.10041236877441406,4
"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.1, ""model__learning_rate"": 0.02, ""model__max_depth"": 5, ""model__min_child_weight"": 1, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.7}",150,0.02,5,1,0.1,0.7,0.85,0.1,1.0,1.68,0.771725,0.003476393605448049,0.6633629992690702,0.0031111493766004987,0.7881812400359415,0.00813514834295773,0.7203980914836892,0.005100004663714367,0.8572749089912449,0.003397466181786407,0.7259994332071501,0.0011903318144072521,0.45273284912109374,0.011164381285592613,0.10342073440551758,5
"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.3, ""model__learning_rate"": 0.15, ""model__max_depth"": 6, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 5.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.85}",200,0.15,6,3,0.3,0.85,1.0,0.1,5.0,1.68,0.7713,0.0031744586152602375,0.6678033989322654,0.0026751969817061356,0.7701918793992292,0.008085425242077235,0.7153439374269034,0.004944135944127975,0.8522866230663521,0.0034913440214002947,0.7732804346631506,0.002282949571426555,0.5681001663208007,0.015341790661440981,0.10874600410461426,6
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.5, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 7, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 1.0}",300,0.05,4,7,0.5,1.0,0.7,0.01,10.0,1.3,0.7822625000000001,0.0037869842883223107,0.6989064172123026,0.004568611458295969,0.7316670888636224,0.006142592169712005,0.7149094807813778,0.0052178759577489004,0.8579296807001284,0.003380959696044892,0.72250203214538,0.00119845901256608,0.5184316158294677,0.016988383266401893,0.11022000312805176,7
"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.0, ""model__learning_rate"": 0.08, ""model__max_depth"": 4, ""model__min_child_weight"": 7, ""model__n_estimators"": 150, ""model__reg_alpha"": 0.01, ""model__reg_lambda"": 1.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.7}",150,0.08,4,7,0.0,0.7,0.85,0.01,1.0,1.3,0.7820125,0.003925358263904077,0.6986101377968912,0.004729722155836451,0.7312650732027806,0.006090745821191418,0.714564175848462,0.005374349002476385,0.8577752425036917,0.0032859820693039565,0.7226032340761345,0.0015522970374012477,0.42725415229797364,0.011549721079435648,0.09836006164550781,8
"{""model__colsample_bytree"": 0.7, ""model__gamma"": 0.1, ""model__learning_rate"": 0.15, ""model__max_depth"": 5, ""model__min_child_weight"": 5, ""model__n_estimators"": 500, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 10.0, ""model__scale_pos_weight"": 1.68, ""model__subsample"": 0.7}",500,0.15,5,5,0.1,0.7,0.7,0.1,10.0,1.68,0.7701,0.002458912361187358,0.6672450510357374,0.0023724632319053023,0.76573630728308,0.006018114653753816,0.7131000435731093,0.0037210686211043413,0.849462519158225,0.003608244133164456,0.7757779667948734,0.001381468679940947,0.9518881797790527,0.008453833395340575,0.11592731475830079,9
"{""model__colsample_bytree"": 0.85, ""model__gamma"": 0.0, ""model__learning_rate"": 0.15, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.5, ""model__reg_lambda"": 2.0, ""model__scale_pos_weight"": 1.3, ""model__subsample"": 0.85}",300,0.15,3,5,0.0,0.85,0.85,0.5,2.0,1.3,0.7809000000000001,0.003534340461811776,0.6978263750697417,0.004237426210923721,0.7280825553547899,0.005773066396498502,0.7126319652135864,0.004911993088786098,0.8565956367587397,0.0033601984457837194,0.726207453821963,0.0011766379620573254,0.5558655738830567,0.01805099815988004,0.10023517608642578,10
