index,y_true,y_pred,y_proba_yes
14568,0,1,0.6649819922119902
3840,1,1,0.8627735980330192
79576,0,1,0.7043970243872693
79917,1,1,0.7912805451534122
50240,0,0,0.05648846538912333
23612,0,1,0.6705016711513037
71383,0,0,0.13318028179388078
85327,1,1,0.9216584447626137
83663,0,0,0.04757516993961831
18611,0,0,0.11484804729638784
95320,0,0,0.3926122218823967
12311,0,0,0.29623547197410627
39752,1,1,0.6761592837993391
24960,0,0,0.025785473773823165
94757,1,1,0.866824826730713
96198,0,1,0.6779102318714357
12731,1,0,0.1566607869182458
14704,0,0,0.3749464136976337
52136,0,1,0.5365123335777495
65733,0,0,0.40304385890966343
77973,1,0,0.4957632104428101
50442,0,0,0.07869279824365631
41034,0,0,0.35614379134690444
10120,0,0,0.04874072469587754
38364,0,0,0.05553184892052517
76482,1,1,0.815925866697011
94800,1,1,0.8232058201632554
22472,1,0,0.318293606400273
20174,0,0,0.08706708712763622
51863,0,0,0.3397990473548944
7384,0,0,0.4798947818573281
46417,1,1,0.5852067340951096
43323,0,0,0.029668669902937594
36054,1,1,0.9413706267379592
37303,0,1,0.7725296955475033
9115,1,1,0.5473511385633341
40226,0,0,0.432915460299218
68274,1,1,0.8750346289549881
70206,0,1,0.9729720512290382
19231,0,0,0.1331842866036297
96266,1,1,0.9406530097981998
68892,1,1,0.9512521141290761
49712,0,0,0.0658614761883797
44547,0,0,0.057107907968093535
29783,1,1,0.6258869796582832
35434,0,0,0.38673252775709926
1681,0,0,0.44080439146306805
2496,1,1,0.7055018881975761
60775,1,1,0.9318478422534329
42104,0,0,0.044867049347789546
30498,1,1,0.9048160265955101
52197,0,0,0.44024936865361636
61115,1,1,0.6042832372804373
20695,0,0,0.4800716622484872
45727,0,0,0.257351155282138
36347,0,0,0.10389782290004544
89191,0,0,0.4362729420908852
29536,1,1,0.5413426633431319
8113,1,1,0.602933273800776
78016,0,0,0.06371989010558367
59086,1,1,0.708497468871335
11773,0,1,0.5394425729868002
57950,0,0,0.4356738813929654
19943,1,0,0.3889403682487401
67441,0,0,0.4226403418887839
77393,0,0,0.39401936338526966
39122,0,0,0.11369198228180583
96390,1,1,0.5168879225120273
64624,1,0,0.268783819411642
72800,1,0,0.42963969735272206
90998,1,0,0.4402787633665136
72394,1,1,0.8741365248934593
20666,1,0,0.25005722883999637
82689,0,1,0.8303289491290866
69913,0,0,0.08448570972193917
27194,1,0,0.47756790542316524
81320,1,1,0.884636802761516
60996,0,0,0.046013670728782055
29884,0,0,0.051784153485189666
5887,1,1,0.6760693280864413
96677,0,0,0.13198464701704885
87353,1,0,0.33531089417128584
27053,0,0,0.040061363269082426
40952,1,1,0.8178859950581889
88783,1,1,0.9189951879156091
35387,1,1,0.7723514892772311
15337,0,0,0.05918335568686993
60472,0,0,0.2737385179971898
25029,0,0,0.12455646370051911
93947,1,1,0.8110296255524067
89664,0,0,0.07862389963431551
43617,0,1,0.6790024503467998
57195,0,1,0.7351892601576919
35646,0,0,0.24903670276353812
76169,0,0,0.49919669545304196
70960,0,0,0.261975884993565
45259,0,0,0.05776993428840348
11481,0,0,0.2596058652723216
32727,0,1,0.71703657073747
5148,1,1,0.834368697682904
34460,0,0,0.25614824349055854
54320,0,0,0.08608202812180785
68086,1,0,0.4846181486770655
69078,1,0,0.10430941312071253
56776,1,1,0.6522024316709633
72864,0,0,0.20852312198895057
79186,1,1,0.9382771480729232
73043,1,1,0.952387291041184
89899,0,0,0.047156157076899796
7382,0,0,0.42292078249502724
22662,0,1,0.5411497513537552
98590,0,0,0.3673853066884435
2354,1,1,0.6714078342832424
1316,0,1,0.798134345488111
35741,0,1,0.8017349829552208
5995,1,1,0.8924865110957968
41327,0,0,0.4169223934444166
54119,0,0,0.4794395549028686
88093,0,0,0.2294050873530343
57804,0,0,0.03308689489674548
39580,0,0,0.22941519431135554
32912,0,0,0.409324351724741
48121,0,1,0.5948968260146325
4655,0,0,0.07299328696551693
57077,1,1,0.9823057392352927
78712,0,0,0.19262567364759228
71188,0,0,0.3981875419898413
9120,1,0,0.41406349154136834
20829,0,0,0.318450304921679
