rank,transformed_feature,importance,importance_percentage
1,numeric__link_click_tendency,0.21407191,21.407192
2,categorical__password_manager_usage_No,0.14871262,14.871262
3,categorical__password_reuse_No,0.1425213,14.2521305
4,numeric__phishing_awareness_score,0.09890229,9.890229
5,categorical__cybersecurity_training_No,0.08588352,8.588352
6,categorical__mfa_enabled_No,0.057047553,5.7047553
7,numeric__verification_before_click,0.029722748,2.9722748
8,categorical__vpn_usage_No,0.018832391,1.8832392
9,categorical__antivirus_installed_No,0.016849035,1.6849035
10,numeric__attachment_open_rate,0.014961504,1.4961505
11,numeric__daily_email_count,0.011159081,1.1159081
12,numeric__password_length,0.01086656,1.086656
13,numeric__suspicious_email_frequency,0.010803584,1.0803584
14,categorical__department_Engineering,0.010107119,1.0107119
15,categorical__department_Operations,0.010022123,1.0022123
16,numeric__reporting_suspicious_email,0.009961704,0.9961704
17,categorical__department_Marketing,0.009831636,0.9831636
18,numeric__security_quiz_score,0.009181967,0.9181967
19,categorical__department_IT,0.009129582,0.9129582
20,categorical__department_Sales,0.008864431,0.8864431
21,categorical__work_mode_Remote,0.008790096,0.8790096
22,numeric__age,0.008782942,0.87829417
23,categorical__work_mode_Hybrid,0.008620618,0.8620618
24,categorical__department_Finance,0.008312173,0.8312173
25,categorical__department_Executive,0.008200489,0.8200489
26,categorical__department_HR,0.007924833,0.7924833
27,categorical__work_mode_Office,0.007844084,0.7844084
28,categorical__department_Customer Support,0.007589605,0.75896055
29,categorical__department_Legal,0.0065024444,0.6502444
30,categorical__password_manager_usage_Yes,0.0,0.0
31,categorical__password_reuse_Yes,0.0,0.0
32,categorical__cybersecurity_training_Yes,0.0,0.0
33,categorical__mfa_enabled_Yes,0.0,0.0
34,categorical__antivirus_installed_Yes,0.0,0.0
35,categorical__vpn_usage_Yes,0.0,0.0
