feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_rate
suspicious_email_frequency,4.0,12.0,8.0,-8.0,24.0,4130,4.13
age,28.0,39.0,11.0,11.5,55.5,979,0.98
daily_email_count,55.0,99.0,44.0,-11.0,165.0,500,0.5
reporting_suspicious_email,53.1,71.9,18.800000000000004,24.899999999999995,100.10000000000001,435,0.43
password_length,11.0,17.0,6.0,2.0,26.0,287,0.29
attachment_open_rate,24.5,45.8,21.299999999999997,-7.449999999999996,77.75,164,0.16
verification_before_click,67.7,92.2,24.5,30.950000000000003,128.95,132,0.13
cybersecurity_awareness_score,57.3,83.2,25.900000000000006,18.44999999999999,122.05000000000001,128,0.13
security_quiz_score,64.3,87.6,23.299999999999997,29.35,122.54999999999998,92,0.09
link_click_tendency,25.6,44.5,18.9,-2.7499999999999964,72.85,37,0.04
phishing_awareness_score,65.5,87.2,21.700000000000003,32.949999999999996,119.75,23,0.02
