rank,original_feature,importance,importance_percentage
1,link_click_tendency,0.11405165215716148,11.40516521571615
2,cybersecurity_awareness_score,0.11319268912022586,11.319268912022586
3,phishing_awareness_score,0.1004357030067226,10.043570300672261
4,verification_before_click,0.09546817007751757,9.546817007751757
5,attachment_open_rate,0.08073311390868565,8.073311390868566
6,security_quiz_score,0.07295024530269033,7.295024530269034
7,reporting_suspicious_email,0.05909330913975354,5.909330913975355
8,daily_email_count,0.05602065461704389,5.60206546170439
9,age,0.043898991820010266,4.389899182001027
10,suspicious_email_frequency,0.04322535484159172,4.3225354841591725
11,password_manager_usage,0.038992769118499054,3.899276911849906
12,password_length,0.036881269851306894,3.68812698513069
13,department,0.03653094765645077,3.653094765645078
14,cybersecurity_training,0.02640296509336073,2.640296509336073
15,password_reuse,0.02428008006853799,2.4280080068537995
16,work_mode,0.02167222112753482,2.1672221127534823
17,mfa_enabled,0.014772031127896702,1.4772031127896703
18,vpn_usage,0.01189100075555239,1.1891000755552392
19,antivirus_installed,0.009506831209457563,0.9506831209457565
