rank,transformed_feature,original_feature,gain_importance,gain_importance_percent
1,numeric__link_click_tendency,link_click_tendency,0.316325071125222,31.6325071125222
2,numeric__phishing_awareness_score,phishing_awareness_score,0.15841746463045214,15.841746463045215
3,categorical__password_reuse_No,password_reuse,0.11193987075934078,11.193987075934078
4,categorical__password_manager_usage_No,password_manager_usage,0.09671247086526102,9.671247086526103
5,categorical__cybersecurity_training_No,cybersecurity_training,0.05782793883276307,5.782793883276307
6,categorical__mfa_enabled_No,mfa_enabled,0.03976664725495486,3.976664725495486
7,numeric__verification_before_click,verification_before_click,0.032415889475255276,3.2415889475255275
8,categorical__vpn_usage_No,vpn_usage,0.017319794889426,1.7319794889426001
9,numeric__attachment_open_rate,attachment_open_rate,0.015910625591124994,1.5910625591124994
10,categorical__antivirus_installed_No,antivirus_installed,0.014997108965156582,1.4997108965156583
11,numeric__password_length,password_length,0.012150981565340268,1.2150981565340269
12,numeric__daily_email_count,daily_email_count,0.011036152112600736,1.1036152112600737
13,numeric__suspicious_email_frequency,suspicious_email_frequency,0.010119446638110112,1.0119446638110112
14,numeric__reporting_suspicious_email,reporting_suspicious_email,0.00900800813089318,0.9008008130893179
15,categorical__work_mode_Remote,work_mode,0.00898339979429785,0.8983399794297849
16,categorical__department_IT,department,0.008922181166987522,0.8922181166987522
17,numeric__security_quiz_score,security_quiz_score,0.0084389011151624,0.84389011151624
18,categorical__department_Executive,department,0.008125733652274685,0.8125733652274685
19,categorical__department_Engineering,department,0.008067932978841846,0.8067932978841846
20,categorical__department_Customer Support,department,0.007444191320797169,0.7444191320797169
21,categorical__department_Sales,department,0.007144887060210094,0.7144887060210093
22,numeric__age,age,0.007122536715215845,0.7122536715215846
23,categorical__work_mode_Office,work_mode,0.006601247526156928,0.6601247526156928
24,categorical__department_Finance,department,0.006087294830741038,0.6087294830741038
25,categorical__work_mode_Hybrid,work_mode,0.00548342293999233,0.548342293999233
26,categorical__department_Marketing,department,0.0053082569947227026,0.5308256994722702
27,categorical__department_HR,department,0.0045487601691287394,0.45487601691287394
28,categorical__department_Operations,department,0.003773782899569763,0.3773782899569763
29,categorical__department_Legal,department,0.0,0.0
30,categorical__password_manager_usage_Yes,password_manager_usage,0.0,0.0
31,categorical__password_reuse_Yes,password_reuse,0.0,0.0
32,categorical__cybersecurity_training_Yes,cybersecurity_training,0.0,0.0
33,categorical__mfa_enabled_Yes,mfa_enabled,0.0,0.0
34,categorical__antivirus_installed_Yes,antivirus_installed,0.0,0.0
35,categorical__vpn_usage_Yes,vpn_usage,0.0,0.0
