,age,daily_email_count,suspicious_email_frequency,password_length,phishing_awareness_score,security_quiz_score,link_click_tendency,attachment_open_rate,verification_before_click,reporting_suspicious_email,cybersecurity_awareness_score
age,1.0,0.20520152108446416,0.08449009610006662,0.05185022060347985,0.12002965348218296,0.11444434947268269,-0.07263303973132863,-0.06178605178230622,0.11880684552089324,0.12456929985281776,0.11217169032657147
daily_email_count,0.20520152108446416,1.0,0.5186816885513771,-0.11939618273168104,-0.40311362585680227,-0.3975583436496023,0.4534675823626954,0.38483838560080647,-0.38683545934963176,-0.22199228615690927,-0.385462565278875
suspicious_email_frequency,0.08449009610006662,0.5186816885513771,1.0,0.019005919037924396,-0.14211878958107413,-0.16802136741382753,0.19116015076285553,0.16071733288396506,-0.1650789887209205,0.12088117392040028,-0.13438714163615526
password_length,0.05185022060347985,-0.11939618273168104,0.019005919037924396,1.0,0.35866274961363753,0.30179570600279865,-0.3413276682337775,-0.28865891293931073,0.29846147963710246,0.23302217627129118,0.4179275316612804
phishing_awareness_score,0.12002965348218296,-0.40311362585680227,-0.14211878958107413,0.35866274961363753,1.0,0.8942393083687963,-0.8613796635915295,-0.7313981028208355,0.8935753959543814,0.7355705403018443,0.8972771664228282
security_quiz_score,0.11444434947268269,-0.3975583436496023,-0.16802136741382753,0.30179570600279865,0.8942393083687963,1.0,-0.7826543196477918,-0.6648831388005002,0.8147715352561385,0.6675661159417039,0.8525063628660386
link_click_tendency,-0.07263303973132863,0.4534675823626954,0.19116015076285553,-0.3413276682337775,-0.8613796635915295,-0.7826543196477918,1.0,0.848827852263849,-0.7968628679910805,-0.649597343231818,-0.8282834801187287
attachment_open_rate,-0.06178605178230622,0.38483838560080647,0.16071733288396506,-0.28865891293931073,-0.7313981028208355,-0.6648831388005002,0.848827852263849,1.0,-0.6768635937124234,-0.5515196594673879,-0.7145903713305393
verification_before_click,0.11880684552089324,-0.38683545934963176,-0.1650789887209205,0.29846147963710246,0.8935753959543814,0.8147715352561385,-0.7968628679910805,-0.6768635937124234,1.0,0.6867292821751739,0.8589051898492339
reporting_suspicious_email,0.12456929985281776,-0.22199228615690927,0.12088117392040028,0.23302217627129118,0.7355705403018443,0.6675661159417039,-0.649597343231818,-0.5515196594673879,0.6867292821751739,1.0,0.7254934226978007
cybersecurity_awareness_score,0.11217169032657147,-0.385462565278875,-0.13438714163615526,0.4179275316612804,0.8972771664228282,0.8525063628660386,-0.8282834801187287,-0.7145903713305393,0.8589051898492339,0.7254934226978007,1.0
