,count,mean,std,min,25%,50%,75%,max,missing_count,missing_rate
age,100000.0,34.17793,7.8953868990976535,21.0,28.0,34.0,39.0,65.0,0,0.0
daily_email_count,100000.0,76.92592,27.563074019130987,19.0,55.0,71.0,99.0,250.0,0,0.0
suspicious_email_frequency,100000.0,9.21566,7.607143317349458,0.0,4.0,7.0,12.0,79.0,0,0.0
password_length,100000.0,14.43334,3.5618230318522426,8.0,11.0,15.0,17.0,30.0,0,0.0
phishing_awareness_score,100000.0,75.89470797099438,14.465540201489736,24.0,65.5,75.0,87.2,100.0,0,0.0
security_quiz_score,99000.0,75.42642828282828,15.407108883955821,18.3,64.3,75.3,87.6,100.0,1000,1.0
link_click_tendency,100000.0,35.208244,12.788663719703532,0.0,25.6,35.4,44.5,79.8,0,0.0
attachment_open_rate,100000.0,35.231695,15.022221127325047,0.0,24.5,35.3,45.8,90.8,0,0.0
verification_before_click,99000.0,78.77818585858586,15.645670055532385,3.6,67.7,79.3,92.2,100.0,1000,1.0
reporting_suspicious_email,99000.0,62.27115050505051,13.699611294458817,7.3,53.1,62.6,71.9,100.0,1000,1.0
cybersecurity_awareness_score,100000.0,69.519389,17.40132273785557,4.6,57.3,69.7,83.2,100.0,0,0.0
