model,feature_set,fold,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
XGBoost,full,1,0.7788125,0.7233964344789561,0.6592964824120603,0.6898606607659277,0.8511458589056949,0.6180729866027832,0.08393001556396484
XGBoost,full,2,0.7815,0.727389705882353,0.6628140703517588,0.6936021034180543,0.8535038018273489,0.46764278411865234,0.08969831466674805
XGBoost,full,3,0.7875625,0.7355689939527212,0.6723618090452261,0.7025466001575217,0.8586514827377165,0.4743061065673828,0.08311963081359863
XGBoost,full,4,0.780625,0.7259368111682586,0.6619765494137353,0.6924829157175398,0.8516542583305362,0.46895813941955566,0.09171509742736816
XGBoost,full,5,0.7910625,0.740219378427788,0.6781108692011388,0.7078052617778167,0.8586930342135091,0.4983842372894287,0.08182358741760254
XGBoost,reduced,1,0.7780625,0.7225390984360626,0.657788944723618,0.6886453309951776,0.8507942253641088,0.46535778045654297,0.08022737503051758
XGBoost,reduced,2,0.7824375,0.7297397083256415,0.66214405360134,0.694300518134715,0.8533983810711918,0.5073740482330322,0.08579111099243164
XGBoost,reduced,3,0.78975,0.7367369186046512,0.6792294807370184,0.7068154087502179,0.859594165576971,0.44611096382141113,0.07812356948852539
XGBoost,reduced,4,0.78275,0.7310971089696071,0.6608040201005025,0.6941756114728137,0.8513782271276622,0.45281386375427246,0.09442949295043945
XGBoost,reduced,5,0.789625,0.7384221123924584,0.6755987271813767,0.7056148329543467,0.8590850642999645,0.45914435386657715,0.09357452392578125
