preprocessor,feature_set,feature_index,transformed_feature_name
linear,full,0,numeric__age
linear,full,1,numeric__daily_email_count
linear,full,2,numeric__suspicious_email_frequency
linear,full,3,numeric__password_length
linear,full,4,numeric__phishing_awareness_score
linear,full,5,numeric__security_quiz_score
linear,full,6,numeric__link_click_tendency
linear,full,7,numeric__attachment_open_rate
linear,full,8,numeric__verification_before_click
linear,full,9,numeric__reporting_suspicious_email
linear,full,10,numeric__cybersecurity_awareness_score
linear,full,11,categorical__department_Customer Support
linear,full,12,categorical__department_Engineering
linear,full,13,categorical__department_Executive
linear,full,14,categorical__department_Finance
linear,full,15,categorical__department_HR
linear,full,16,categorical__department_IT
linear,full,17,categorical__department_Legal
linear,full,18,categorical__department_Marketing
linear,full,19,categorical__department_Operations
linear,full,20,categorical__department_Sales
linear,full,21,categorical__work_mode_Hybrid
linear,full,22,categorical__work_mode_Office
linear,full,23,categorical__work_mode_Remote
linear,full,24,categorical__password_reuse_No
linear,full,25,categorical__password_reuse_Yes
linear,full,26,categorical__password_manager_usage_No
linear,full,27,categorical__password_manager_usage_Yes
linear,full,28,categorical__mfa_enabled_No
linear,full,29,categorical__mfa_enabled_Yes
linear,full,30,categorical__cybersecurity_training_No
linear,full,31,categorical__cybersecurity_training_Yes
linear,full,32,categorical__antivirus_installed_No
linear,full,33,categorical__antivirus_installed_Yes
linear,full,34,categorical__vpn_usage_No
linear,full,35,categorical__vpn_usage_Yes
linear,reduced,0,numeric__age
linear,reduced,1,numeric__daily_email_count
linear,reduced,2,numeric__suspicious_email_frequency
linear,reduced,3,numeric__password_length
linear,reduced,4,numeric__phishing_awareness_score
linear,reduced,5,numeric__security_quiz_score
linear,reduced,6,numeric__link_click_tendency
linear,reduced,7,numeric__attachment_open_rate
linear,reduced,8,numeric__verification_before_click
linear,reduced,9,numeric__reporting_suspicious_email
linear,reduced,10,categorical__department_Customer Support
linear,reduced,11,categorical__department_Engineering
linear,reduced,12,categorical__department_Executive
linear,reduced,13,categorical__department_Finance
linear,reduced,14,categorical__department_HR
linear,reduced,15,categorical__department_IT
linear,reduced,16,categorical__department_Legal
linear,reduced,17,categorical__department_Marketing
linear,reduced,18,categorical__department_Operations
linear,reduced,19,categorical__department_Sales
linear,reduced,20,categorical__work_mode_Hybrid
linear,reduced,21,categorical__work_mode_Office
linear,reduced,22,categorical__work_mode_Remote
linear,reduced,23,categorical__password_reuse_No
linear,reduced,24,categorical__password_reuse_Yes
linear,reduced,25,categorical__password_manager_usage_No
linear,reduced,26,categorical__password_manager_usage_Yes
linear,reduced,27,categorical__mfa_enabled_No
linear,reduced,28,categorical__mfa_enabled_Yes
linear,reduced,29,categorical__cybersecurity_training_No
linear,reduced,30,categorical__cybersecurity_training_Yes
linear,reduced,31,categorical__antivirus_installed_No
linear,reduced,32,categorical__antivirus_installed_Yes
linear,reduced,33,categorical__vpn_usage_No
linear,reduced,34,categorical__vpn_usage_Yes
naive_bayes,full,0,numeric__age
naive_bayes,full,1,numeric__daily_email_count
naive_bayes,full,2,numeric__suspicious_email_frequency
naive_bayes,full,3,numeric__password_length
naive_bayes,full,4,numeric__phishing_awareness_score
naive_bayes,full,5,numeric__security_quiz_score
naive_bayes,full,6,numeric__link_click_tendency
naive_bayes,full,7,numeric__attachment_open_rate
naive_bayes,full,8,numeric__verification_before_click
naive_bayes,full,9,numeric__reporting_suspicious_email
naive_bayes,full,10,numeric__cybersecurity_awareness_score
naive_bayes,full,11,categorical__department_Customer Support
naive_bayes,full,12,categorical__department_Engineering
naive_bayes,full,13,categorical__department_Executive
naive_bayes,full,14,categorical__department_Finance
