rank,transformed_feature,importance
1,numeric__link_click_tendency,0.11405165215716148
2,numeric__cybersecurity_awareness_score,0.11319268912022586
3,numeric__phishing_awareness_score,0.1004357030067226
4,numeric__verification_before_click,0.09546817007751757
5,numeric__attachment_open_rate,0.08073311390868565
6,numeric__security_quiz_score,0.07295024530269033
7,numeric__reporting_suspicious_email,0.05909330913975354
8,numeric__daily_email_count,0.05602065461704389
9,numeric__age,0.043898991820010266
10,numeric__suspicious_email_frequency,0.04322535484159172
11,numeric__password_length,0.036881269851306894
12,categorical__password_manager_usage_No,0.019877180250634674
13,categorical__password_manager_usage_Yes,0.019115588867864384
14,categorical__cybersecurity_training_No,0.015214645245677375
15,categorical__password_reuse_No,0.012205875836471779
16,categorical__password_reuse_Yes,0.012074204232066212
17,categorical__cybersecurity_training_Yes,0.011188319847683353
18,categorical__work_mode_Hybrid,0.007806660626469153
19,categorical__mfa_enabled_Yes,0.007409882915773375
20,categorical__mfa_enabled_No,0.007362148212123326
21,categorical__work_mode_Office,0.007028777768192217
22,categorical__work_mode_Remote,0.006836782732873452
23,categorical__vpn_usage_No,0.005969375598997671
24,categorical__vpn_usage_Yes,0.00592162515655472
25,categorical__department_Sales,0.005920046345217987
26,categorical__department_Marketing,0.005372387861451261
27,categorical__department_Customer Support,0.005333837964110351
28,categorical__antivirus_installed_Yes,0.004778787318378534
29,categorical__antivirus_installed_No,0.0047280438910790295
30,categorical__department_Finance,0.004568454077612578
31,categorical__department_HR,0.004318808327543114
32,categorical__department_IT,0.00410073377827831
33,categorical__department_Engineering,0.003491656330661329
34,categorical__department_Executive,0.0023568622721628
35,categorical__department_Operations,0.0008283684410463392
36,categorical__department_Legal,0.00023979225836670218
