params,param_model__n_estimators,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__bootstrap,param_model__class_weight,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_train_f1,std_train_f1,mean_fit_time,std_fit_time,mean_score_time,rank_test_f1
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 500}",500,10,5,4,log2,True,balanced,0.7727,0.0020805648271563,0.6652094642540393,0.0016905176871818,0.7868412345880579,0.0069400002011505,0.720920124238794,0.0035107268355105,0.8563652545074982,0.0034219120681774,0.7497917250201461,0.0012156345744595,2.134672212600708,0.0190351479808345,0.2934526443481445,1
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 700}",700,10,5,4,log2,True,balanced_subsample,0.7737999999999999,0.0023751315753027,0.6685920693202027,0.002047970472629,0.7808112297096491,0.0066342633195687,0.7203493861149688,0.0037492916551489,0.8562929597753307,0.0033989727307045,0.7500878607705909,0.0011296576676992,3.490499210357666,0.0354197194713421,0.3833304882049561,2
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 5, ""model__n_estimators"": 300}",300,10,5,4,sqrt,True,balanced_subsample,0.7741,0.0029810862114336,0.6697404051374672,0.002687104307032,0.7784327207409796,0.0073302252788848,0.7200000906585193,0.0044987873454373,0.8561758644912413,0.0034575857256301,0.7520314895180296,0.0013382751211703,1.634127950668335,0.0115918576570004,0.1997358798980713,3
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 10, ""model__n_estimators"": 300}",300,30,10,8,log2,True,balanced,0.7747875,0.0034261403211193,0.6718452207732623,0.0033292494410427,0.7749152786766412,0.007664799064857,0.7197013228568938,0.0049892933557233,0.8558661445594445,0.0034658603943012,0.8076180718793999,0.0003318968592095,1.571349811553955,0.0137721400939684,0.2220620155334472,4
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 300}",300,10,5,2,0.5,True,balanced,0.772025,0.0019483967768398,0.6658703556112721,0.002068135295855,0.7808782538270542,0.0065524447950377,0.71879030703651,0.0031935676284335,0.8554506188916392,0.0034215914476706,0.7668684620358244,0.0015089357113971,2.839466953277588,0.0277135424875709,0.201205825805664,5
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 20, ""model__n_estimators"": 500}",500,not_set,20,1,sqrt,True,balanced,0.7754125000000001,0.0030428194162651,0.6755293648442924,0.0029840414412526,0.7660377531042698,0.006483867304667,0.7179380721674982,0.0044278536212489,0.8545668237218959,0.0034022593684578,0.8598410796673683,0.00080611317306,2.985927677154541,0.0257068300502946,0.3671455860137939,6
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",200,30,5,8,log2,True,balanced_subsample,0.7768125,0.0040548967311141,0.6811725070250272,0.0042600293657769,0.7554183747408958,0.0078438159760132,0.716371875284701,0.0057602591915098,0.855475640279615,0.0034152489690264,0.8103177492370917,0.0003748192250285,1.2317259788513184,0.023989758019093,0.1811194419860839,7
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 40, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 700}",700,40,5,2,log2,True,balanced,0.7781374999999999,0.0029860090421832,0.6853337723806258,0.0029619126259908,0.749555946987772,0.007663065655471,0.7159958109674474,0.0046926783497398,0.8543710055867801,0.0034678807784972,0.9512928391476028,0.0003238310822045,3.90955662727356,0.020793550150387,0.5164619445800781,8
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 30, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",200,30,5,8,sqrt,True,balanced_subsample,0.7774500000000001,0.0033764811564704,0.6834158883697471,0.0035670316640163,0.7518338412320633,0.0068542211903806,0.7159889180549953,0.0048829756869115,0.8553737317522454,0.0033767000940557,0.8183239677652956,0.0004825773689788,1.308288860321045,0.0190042418013025,0.1800984382629394,9
"{""model__bootstrap"": true, ""model__class_weight"": ""balanced"", ""model__max_depth"": 30, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 700}",700,30,5,2,log2,True,balanced,0.7780875,0.0031281484139982,0.6852259652968075,0.0031985497992805,0.7496229318310416,0.0072472874025749,0.715970649867821,0.0047335045429079,0.8543897219196979,0.0035443103038482,0.9511350490880238,0.0004522745364075,3.953067922592163,0.0747972316418579,0.5147804737091064,10
