sample_index,y_true,y_pred,y_probability
14568,0,1,0.7057009
3840,1,1,0.8793031
79576,0,1,0.6490697
79917,1,1,0.79593354
50240,0,0,0.05056114
23612,0,1,0.66387385
71383,0,0,0.14259765
85327,1,1,0.9202691
83663,0,0,0.037786197
18611,0,0,0.13625087
95320,0,0,0.35375166
12311,0,0,0.26434833
39752,1,1,0.6896195
24960,0,0,0.019793646
94757,1,1,0.8850138
96198,0,1,0.6964012
12731,1,0,0.13291694
14704,0,0,0.3021522
52136,0,1,0.59167653
65733,0,0,0.3421322
77973,1,1,0.50379145
50442,0,0,0.076538615
41034,0,0,0.36702368
10120,0,0,0.039248258
38364,0,0,0.049005423
76482,1,1,0.8224102
94800,1,1,0.78408873
22472,1,0,0.29369122
20174,0,0,0.08135445
51863,0,0,0.30251017
7384,0,0,0.49270615
46417,1,1,0.6000528
43323,0,0,0.010437706
36054,1,1,0.9321176
37303,0,1,0.64625525
9115,1,1,0.58010185
40226,0,0,0.3719376
68274,1,1,0.88450927
70206,0,1,0.9684757
19231,0,0,0.122554705
96266,1,1,0.93048614
68892,1,1,0.9511551
49712,0,0,0.060636245
44547,0,0,0.05434968
29783,1,1,0.60875154
35434,0,0,0.36933237
1681,0,0,0.4714888
2496,1,1,0.75448555
60775,1,1,0.93078834
42104,0,0,0.0369606
30498,1,1,0.8977889
52197,0,0,0.47086918
61115,1,1,0.58959186
20695,0,0,0.4982284
45727,0,0,0.2525647
36347,0,0,0.09284894
89191,0,0,0.3963425
29536,1,1,0.6166842
8113,1,1,0.64079696
78016,0,0,0.064027585
59086,1,1,0.71817064
11773,0,1,0.54821825
57950,0,0,0.46479186
19943,1,0,0.40134045
67441,0,0,0.42161474
77393,0,0,0.27238828
39122,0,0,0.06578503
96390,1,1,0.5141261
64624,1,0,0.26354077
72800,1,0,0.34448174
90998,1,0,0.4078902
72394,1,1,0.8483864
20666,1,0,0.17609242
82689,0,1,0.86567205
69913,0,0,0.071638815
27194,1,1,0.5052595
81320,1,1,0.90934443
60996,0,0,0.04300833
29884,0,0,0.029007195
5887,1,1,0.65213835
96677,0,0,0.157812
87353,1,0,0.27821186
27053,0,0,0.030709622
40952,1,1,0.83513874
88783,1,1,0.9144394
35387,1,1,0.76543367
15337,0,0,0.06553041
60472,0,0,0.27086133
25029,0,0,0.12915611
93947,1,1,0.7924401
89664,0,0,0.06566961
43617,0,1,0.730189
57195,0,1,0.7472648
35646,0,0,0.25703385
76169,0,0,0.49583054
70960,0,0,0.2807498
45259,0,0,0.04357566
11481,0,0,0.34627515
32727,0,1,0.73890406
5148,1,1,0.8300779
34460,0,0,0.26598635
54320,0,0,0.08890227
68086,1,0,0.44641834
69078,1,0,0.11897412
56776,1,1,0.6866804
72864,0,0,0.18709102
79186,1,1,0.9337193
73043,1,1,0.9614696
89899,0,0,0.04437204
7382,0,0,0.45050058
22662,0,1,0.57036203
98590,0,0,0.35893986
2354,1,1,0.6782878
1316,0,1,0.81029445
35741,0,1,0.7825866
5995,1,1,0.8964734
41327,0,0,0.38955846
54119,0,0,0.4448168
88093,0,0,0.25077832
57804,0,0,0.050990753
39580,0,0,0.23772703
32912,0,0,0.3616131
48121,0,1,0.60956913
4655,0,0,0.08000813
57077,1,1,0.9865513
78712,0,0,0.12881564
71188,0,0,0.39727816
9120,1,0,0.36083895
20829,0,0,0.40923396
10730,0,0,0.406519
21040,1,1,0.7322287
54378,0,0,0.15081465
9179,0,0,0.07491513
65676,1,1,0.90174556
95309,1,0,0.49446094
94341,0,0,0.054038018
76503,0,0,0.27639362
38911,0,0,0.44363734
47951,0,0,0.38802257
92256,1,1,0.81275046
54274,1,1,0.84175456
42959,1,1,0.703428
47431,0,0,0.47942677
53118,0,0,0.33315748
73342,0,0,0.075601935
92676,0,0,0.36762962
6625,0,0,0.16046591
57155,0,0,0.22652142
8883,0,0,0.36614785
78813,0,1,0.69222367
35701,0,0,0.13572326
32902,1,1,0.9496053
22949,0,1,0.6187947
77394,0,0,0.32259548
19566,0,0,0.4839324
1753,1,0,0.21721071
45305,0,1,0.85035264
62552,1,0,0.28752497
46005,0,0,0.37649167
12463,1,1,0.7693743
66049,1,0,0.35245398
54977,0,0,0.21448821
56124,1,0,0.2689675
71540,0,0,0.29269442
29495,0,1,0.5026198
39904,1,1,0.57482046
38123,0,1,0.6978786
48930,1,1,0.64883333
38096,0,1,0.76991904
92701,0,0,0.32815126
32871,1,1,0.967699
55410,0,0,0.09485067
80366,1,1,0.93014926
18113,1,1,0.7657651
51535,1,1,0.90952754
20050,0,0,0.106910594
49077,1,1,0.89660734
8879,1,1,0.7405597
32388,0,0,0.2112584
99198,0,1,0.63123786
33351,1,1,0.8096168
77931,0,0,0.036601584
39028,0,0,0.10288141
33348,0,1,0.5076476
25294,0,0,0.06400469
6335,1,1,0.7978863
54632,0,0,0.011786682
27558,0,0,0.3532178
15500,1,1,0.8997427
10733,1,1,0.78316724
46979,0,0,0.036733374
54776,1,1,0.82461077
80782,1,0,0.14997837
97444,0,0,0.23086548
36918,0,0,0.05720571
20634,0,0,0.076296225
46797,0,0,0.012555067
86916,0,1,0.65116864
60462,0,0,0.06371205
18840,1,1,0.9443234
82372,0,1,0.7583651
89362,0,0,0.06904737
46753,1,1,0.56178474
39103,0,0,0.04503668
86413,0,0,0.034622163
13847,1,1,0.8212336
82865,0,0,0.35437515
89579,0,0,0.1082892
65447,1,1,0.9325785
11346,1,1,0.82983726
45878,0,1,0.54898787
37713,0,0,0.11994843
41811,1,1,0.8478838
26392,1,1,0.7253126
89029,1,0,0.28885588
13721,0,1,0.67562556
72616,1,1,0.63622344
65146,1,1,0.9635943
83869,0,1,0.5340384
5123,0,1,0.8794078
60318,0,0,0.10318924
24385,0,0,0.35920465
98177,0,0,0.4567446
13061,0,0,0.17252919
46692,0,0,0.2937997
48041,0,0,0.11120774
9585,1,1,0.8303702
75308,0,1,0.6125705
86887,1,0,0.41881064
31245,0,1,0.66000307
38486,0,0,0.09380236
4893,0,0,0.24119739
45655,1,1,0.6812123
27852,1,0,0.48000243
72892,0,0,0.052520324
65554,1,1,0.71813864
78261,0,0,0.09191449
90792,0,0,0.16358109
69733,0,0,0.4914514
78437,0,0,0.14113513
44430,0,0,0.11285736
77522,1,0,0.38890386
28270,0,1,0.6947246
49041,0,1,0.6517576
58046,0,1,0.5002209
26959,0,0,0.13743493
11130,1,1,0.66021633
88199,0,1,0.7344242
70432,0,1,0.72053677
40708,0,0,0.10951681
39397,0,0,0.49327877
93917,0,0,0.042810615
22163,0,1,0.83310556
53649,0,1,0.59858763
66340,1,1,0.8852044
99362,0,0,0.069870204
48927,0,0,0.15626247
85758,0,1,0.7093348
66998,0,0,0.020193506
63335,0,0,0.049616348
11916,1,0,0.17042762
55326,0,0,0.4885819
46077,0,0,0.31404218
65095,1,1,0.7939194
86338,1,0,0.4612128
40726,1,1,0.8567528
65402,0,0,0.14052811
23394,1,1,0.9416338
77857,0,1,0.5089607
10926,0,0,0.37904862
22143,0,1,0.8985096
30242,0,1,0.8025675
83997,0,0,0.2365524
28708,0,0,0.26183936
73140,0,0,0.22397494
21302,1,1,0.83907276
94682,0,1,0.65003824
90711,0,1,0.5009606
38344,0,0,0.09366823
58918,0,0,0.23120435
94420,0,0,0.027003909
90627,0,1,0.6005909
12645,0,0,0.18130884
32297,1,1,0.8620935
49292,0,0,0.28467837
34769,1,1,0.9107616
54392,0,1,0.8287125
1605,1,1,0.8450487
65140,1,1,0.80006593
44257,1,1,0.96046126
7807,1,0,0.43797153
35642,1,1,0.5418462
45132,1,1,0.9608674
36323,1,1,0.79146695
4444,0,0,0.28782257
84698,1,1,0.727478
81470,0,0,0.19607721
72851,1,1,0.70895326
20706,1,1,0.79539275
21636,0,0,0.030510597
82001,0,0,0.2369229
10670,0,0,0.38275054
7183,0,1,0.6671743
97878,0,0,0.2706817
23587,1,1,0.9307368
