rank,original_feature,importance,importance_percentage
1,link_click_tendency,0.21407191,21.407192
2,password_manager_usage,0.14871262,14.8712635
3,password_reuse,0.1425213,14.252132
4,phishing_awareness_score,0.09890229,9.89023
5,department,0.08648443,8.648444
6,cybersecurity_training,0.08588352,8.588353
7,mfa_enabled,0.057047553,5.704756
8,verification_before_click,0.029722748,2.972275
9,work_mode,0.025254797,2.5254798
10,vpn_usage,0.018832391,1.8832393
11,antivirus_installed,0.016849035,1.6849037
12,attachment_open_rate,0.014961504,1.4961505
13,daily_email_count,0.011159081,1.1159081
14,password_length,0.01086656,1.0866561
15,suspicious_email_frequency,0.010803584,1.0803585
16,reporting_suspicious_email,0.009961704,0.99617046
17,security_quiz_score,0.009181967,0.9181968
18,age,0.008782942,0.8782943
