model,feature_set,fold,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
Logistic Regression,full,1,0.7833125,0.7281677301731997,0.6690117252931324,0.6973374072457442,0.8555349696304722,0.2296760082244873,0.06338667869567871
Logistic Regression,full,2,0.78425,0.7305860805860805,0.6681742043551089,0.6979877515310586,0.8568862758458292,0.224090576171875,0.058611392974853516
Logistic Regression,full,3,0.7903125,0.7388127853881279,0.6775544388609716,0.7068588903451288,0.8627540160089247,0.23064351081848145,0.06470108032226562
Logistic Regression,full,4,0.7840625,0.7331726311885778,0.6623115577889447,0.6959429728064772,0.8563574936831049,0.2270505428314209,0.05986833572387695
Logistic Regression,full,5,0.7925,0.7443317972350231,0.6762686317199799,0.7086697086697087,0.8626387929868562,0.21666169166564941,0.05974268913269043
Logistic Regression,reduced,1,0.78325,0.7280349981771783,0.6690117252931324,0.6972765363128491,0.8555204236536621,0.20833253860473633,0.059005022048950195
Logistic Regression,reduced,2,0.78425,0.7304172767203514,0.6685092127303183,0.6980934056323247,0.8568812156495338,0.21661996841430664,0.05977463722229004
Logistic Regression,reduced,3,0.790875,0.739590942293645,0.678391959798995,0.707670802026909,0.8627756429204847,0.21125197410583496,0.059674739837646484
Logistic Regression,reduced,4,0.7840625,0.7331726311885778,0.6623115577889447,0.6959429728064772,0.8563539532157296,0.20461511611938477,0.05821657180786133
Logistic Regression,reduced,5,0.7925,0.7441517774912507,0.6766035839892816,0.7087719298245614,0.862632781279959,0.20038890838623047,0.06093263626098633
