feature,coefficient,abs_coefficient,direction
categorical__password_reuse_No,-0.42415130747063956,0.42415130747063956,More likely No
categorical__password_reuse_Yes,0.3871034280909892,0.3871034280909892,More likely Yes
numeric__phishing_awareness_score,-0.36286446690729185,0.36286446690729185,More likely No
numeric__link_click_tendency,0.32468498211924024,0.32468498211924024,More likely Yes
categorical__mfa_enabled_Yes,-0.30939696444545134,0.30939696444545134,More likely No
numeric__verification_before_click,-0.2893828974827607,0.2893828974827607,More likely No
categorical__mfa_enabled_No,0.27234908506580136,0.27234908506580136,More likely Yes
numeric__attachment_open_rate,0.2646673213486433,0.2646673213486433,More likely Yes
categorical__password_manager_usage_Yes,-0.2235962995990287,0.2235962995990287,More likely No
categorical__cybersecurity_training_Yes,-0.2134026680957164,0.2134026680957164,More likely No
categorical__password_manager_usage_No,0.18654842021937834,0.18654842021937834,More likely Yes
categorical__cybersecurity_training_No,0.17635478871606652,0.17635478871606652,More likely Yes
categorical__vpn_usage_Yes,-0.16689678528161275,0.16689678528161275,More likely No
categorical__antivirus_installed_Yes,-0.14414946563155756,0.14414946563155756,More likely No
categorical__vpn_usage_No,0.12984890590196083,0.12984890590196083,More likely Yes
numeric__reporting_suspicious_email,-0.12086390709151792,0.12086390709151792,More likely No
numeric__suspicious_email_frequency,0.11868916827419565,0.11868916827419565,More likely Yes
categorical__antivirus_installed_No,0.10710158625190536,0.10710158625190536,More likely Yes
numeric__daily_email_count,0.0839053084023781,0.0839053084023781,More likely Yes
numeric__password_length,-0.06730252438605046,0.06730252438605046,More likely No
categorical__department_IT,-0.06156542849918406,0.06156542849918406,More likely No
categorical__work_mode_Office,-0.04758746764927108,0.04758746764927108,More likely No
categorical__department_Executive,-0.030669484114461153,0.030669484114461153,More likely No
categorical__department_Sales,0.02729353418780114,0.02729353418780114,More likely Yes
categorical__department_Marketing,0.022609327349540256,0.022609327349540256,More likely Yes
categorical__department_Engineering,-0.018651832740834075,0.018651832740834075,More likely No
categorical__department_HR,0.016354537684818243,0.016354537684818243,More likely Yes
numeric__age,0.015639779358489043,0.015639779358489043,More likely Yes
categorical__department_Legal,0.01388527858381561,0.01388527858381561,More likely Yes
categorical__work_mode_Remote,0.011109821651455147,0.011109821651455147,More likely Yes
categorical__department_Finance,-0.010413264461778654,0.010413264461778654,More likely No
numeric__security_quiz_score,0.006501923338350621,0.006501923338350621,More likely Yes
categorical__department_Customer Support,0.003649151658766919,0.003649151658766919,More likely Yes
categorical__work_mode_Hybrid,-0.0005702333818333437,0.0005702333818333437,More likely No
categorical__department_Operations,0.0004603009718660384,0.0004603009718660384,More likely Yes
