rank,original_feature,importance,importance_percentage
1,cybersecurity_awareness_score,0.1542412055396587,15.42412055396587
2,link_click_tendency,0.142494638596961,14.2494638596961
3,phishing_awareness_score,0.13279160861524492,13.279160861524492
4,verification_before_click,0.0989861717938888,9.89861717938888
5,password_manager_usage,0.08615674037060869,8.615674037060868
6,attachment_open_rate,0.07682890280345583,7.682890280345584
7,security_quiz_score,0.06386107659573038,6.386107659573039
8,password_reuse,0.04983522462746119,4.983522462746119
9,cybersecurity_training,0.04580409596815435,4.580409596815435
10,reporting_suspicious_email,0.030340640453079003,3.0340640453079004
11,daily_email_count,0.027359164759034958,2.7359164759034957
12,department,0.024080989624011843,2.4080989624011844
13,password_length,0.020667568893950085,2.0667568893950086
14,mfa_enabled,0.02060237943750725,2.060237943750725
15,suspicious_email_frequency,0.00895098750813928,0.895098750813928
16,age,0.007105125593580426,0.7105125593580426
17,vpn_usage,0.004439040825074523,0.4439040825074523
18,work_mode,0.003175118603478761,0.3175118603478761
19,antivirus_installed,0.0022793193909799825,0.22793193909799825
