model,feature_set,fold,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
Gaussian Naive Bayes,full,1,0.760125,0.6471969069317868,0.7850921273031826,0.7095065092340297,0.8447599997327949,0.2709658145904541,0.1199793815612793
Gaussian Naive Bayes,full,2,0.7615625,0.649715159094067,0.783249581239531,0.7102604997341839,0.8433361723873606,0.2632174491882324,0.13604331016540527
Gaussian Naive Bayes,full,3,0.764375,0.6513900357830994,0.7927973199329983,0.7151707464490783,0.8479431387579306,0.2646486759185791,0.08896446228027344
Gaussian Naive Bayes,full,4,0.762625,0.6516759776536313,0.7815745393634841,0.7107387661843108,0.8441778684048358,0.2180178165435791,0.09617304801940918
Gaussian Naive Bayes,full,5,0.7644375,0.6518201875344732,0.7916596884943895,0.7149663465174317,0.848548412417588,0.24639344215393066,0.10238051414489746
Gaussian Naive Bayes,reduced,1,0.761125,0.6490838423098279,0.783249581239531,0.7098831030818279,0.8438158138649379,0.21672439575195312,0.08819031715393066
Gaussian Naive Bayes,reduced,2,0.7604375,0.6486712119103938,0.7809045226130653,0.7086721897089002,0.8421080310158301,0.2396242618560791,0.08538007736206055
Gaussian Naive Bayes,reduced,3,0.764,0.6511435657205842,0.7916247906197655,0.7145449047475053,0.8465941204861128,0.27906250953674316,0.09822416305541992
Gaussian Naive Bayes,reduced,4,0.76225,0.6517656950672646,0.7790619765494138,0.7097512589653594,0.8432284302870284,0.263871431350708,0.07941102981567383
Gaussian Naive Bayes,reduced,5,0.764,0.651316696539363,0.7911572600904371,0.7144585601935874,0.8471312026140772,0.23692083358764648,0.08374667167663574
