feature,data_type,missing_count,missing_rate,included_in_full,included_in_reduced,exclusion_reason
age,numeric,0,0.0,True,True,
department,categorical,0,0.0,True,True,
work_mode,categorical,0,0.0,True,True,
daily_email_count,numeric,0,0.0,True,True,
suspicious_email_frequency,numeric,0,0.0,True,True,
password_length,numeric,0,0.0,True,True,
password_reuse,categorical,0,0.0,True,True,
password_manager_usage,categorical,1000,1.0,True,True,
mfa_enabled,categorical,0,0.0,True,True,
cybersecurity_training,categorical,0,0.0,True,True,
phishing_awareness_score,numeric,0,0.0,True,True,
security_quiz_score,numeric,1000,1.0,True,True,
link_click_tendency,numeric,0,0.0,True,True,
attachment_open_rate,numeric,0,0.0,True,True,
verification_before_click,numeric,1000,1.0,True,True,
reporting_suspicious_email,numeric,1000,1.0,True,True,
antivirus_installed,categorical,1000,1.0,True,True,
vpn_usage,categorical,1000,1.0,True,True,
cybersecurity_awareness_score,numeric,0,0.0,True,False,Removed from reduced set to test composite score redundancy
