sample_index,y_true,y_pred,y_probability
14568,0,1,0.6612438112923952
3840,1,1,0.8688696363246254
79576,0,1,0.6884085726803655
79917,1,1,0.7891629240126674
50240,0,0,0.05185676783908387
23612,0,1,0.6714563514269871
71383,0,0,0.17994004038190942
85327,1,1,0.9013899973410222
83663,0,0,0.04200273676305026
18611,0,0,0.15196867238831002
95320,0,0,0.39766008973362416
12311,0,0,0.28054289686513584
39752,1,1,0.6638231193239345
24960,0,0,0.051702253740725616
94757,1,1,0.8362739295981544
96198,0,1,0.7348004950065703
12731,1,0,0.16059025460102092
14704,0,0,0.37043133275876905
52136,0,1,0.5639277763517051
65733,0,0,0.3557325796872504
77973,1,1,0.5550342920951961
50442,0,0,0.07249220613091245
41034,0,0,0.37489619992750395
10120,0,0,0.0458873343877733
38364,0,0,0.09687405554526105
76482,1,1,0.8056224312070653
94800,1,1,0.8161584240647769
22472,1,0,0.3014066637695282
20174,0,0,0.12135917582722063
51863,0,0,0.4100741488656031
7384,0,1,0.5151359639445454
46417,1,1,0.5481316717413101
43323,0,0,0.03376839127784793
36054,1,1,0.9109424870604106
37303,0,1,0.713112620762316
9115,1,1,0.5571959299932767
40226,0,0,0.46007600447883057
68274,1,1,0.8678323466059461
70206,0,1,0.9266424492206118
19231,0,0,0.12285850277406174
96266,1,1,0.9393686978907444
68892,1,1,0.9146061132553368
49712,0,0,0.07512660173934346
44547,0,0,0.04671504752742137
29783,1,1,0.6211886938320583
35434,0,0,0.3742835888206783
1681,0,0,0.48816589971964947
2496,1,1,0.7650922901859539
60775,1,1,0.9224587631122124
42104,0,0,0.0568637024820742
30498,1,1,0.8689756114752537
52197,0,1,0.5014051393548978
61115,1,1,0.5930687141489134
20695,0,0,0.4438537203945612
45727,0,0,0.27031127862774196
36347,0,0,0.10870525936296968
89191,0,0,0.4156212227319579
29536,1,1,0.5843887242761097
8113,1,1,0.5680500132453797
78016,0,0,0.060282909746385054
59086,1,1,0.7700326676926044
11773,0,1,0.5014446091376787
57950,0,1,0.5398923252662841
19943,1,0,0.44110806335913266
67441,0,0,0.4308555438487256
77393,0,0,0.385372237616656
39122,0,0,0.11786279727407821
96390,1,1,0.5054337661331136
64624,1,0,0.27555646528272787
72800,1,0,0.4223425912844776
90998,1,0,0.43462239414756776
72394,1,1,0.8343699402485871
20666,1,0,0.1937498141869367
82689,0,1,0.7964604687443604
69913,0,0,0.07726343224576696
27194,1,0,0.4876635409655962
81320,1,1,0.9084437283122829
60996,0,0,0.05881834998065473
29884,0,0,0.04877028924378095
5887,1,1,0.6752097908973556
96677,0,0,0.1386325228061306
87353,1,0,0.25310021371535385
27053,0,0,0.04096853232839194
40952,1,1,0.7546920909919582
88783,1,1,0.8980575951203833
35387,1,1,0.7967374939029817
15337,0,0,0.06730814030616686
60472,0,0,0.22659748204318791
25029,0,0,0.143200802160339
93947,1,1,0.8046891320069613
89664,0,0,0.0674462017580209
43617,0,1,0.7125322796452351
57195,0,1,0.7700788938580816
35646,0,0,0.28452343999584206
76169,0,1,0.5639776973741154
70960,0,0,0.29625977647430735
45259,0,0,0.05551150041077542
11481,0,0,0.2661555286280907
32727,0,1,0.6299264081981457
5148,1,1,0.8489483228950835
34460,0,0,0.18553448535483735
54320,0,0,0.10646807435152118
68086,1,0,0.3957175594492557
69078,1,0,0.1519157099831016
56776,1,1,0.6937256764654472
72864,0,0,0.21443649420662883
79186,1,1,0.9296622447744671
73043,1,1,0.9470872106705743
89899,0,0,0.05965872385584403
7382,0,0,0.39449100322553443
22662,0,0,0.4742677891785883
98590,0,0,0.35140942721942653
2354,1,1,0.6516156858106242
1316,0,1,0.7786627071081742
35741,0,1,0.7265855796177768
5995,1,1,0.8605134394223288
41327,0,0,0.43451670421350996
54119,0,1,0.5145208067811947
88093,0,0,0.226804744246986
57804,0,0,0.045873863272940206
39580,0,0,0.2451916152265285
32912,0,0,0.4490436938394214
48121,0,1,0.5487953888282919
4655,0,0,0.06823382972067576
57077,1,1,0.9771634402335725
78712,0,0,0.1878379643129857
71188,0,0,0.4371195105566735
9120,1,0,0.3532928654231684
20829,0,0,0.3372556981222129
10730,0,0,0.378687243361562
21040,1,1,0.687331106088927
54378,0,0,0.17242334407775387
9179,0,0,0.07280887062032491
65676,1,1,0.9112185822985807
95309,1,1,0.5327240329417341
94341,0,0,0.07997751184822985
76503,0,0,0.2829380436334334
38911,0,0,0.4408953761654945
47951,0,0,0.37144367371871495
92256,1,1,0.8058961016293057
54274,1,1,0.8369246100936095
42959,1,1,0.7387355068180773
47431,0,1,0.5583114769527378
53118,0,0,0.3526099660849506
73342,0,0,0.10769422046999864
92676,0,0,0.32874814772843397
6625,0,0,0.15729518311368498
57155,0,0,0.23090105525600954
8883,0,0,0.33410786883268506
78813,0,1,0.6870593581033687
35701,0,0,0.24317070878250796
32902,1,1,0.9013467672408356
22949,0,1,0.6380707812299089
77394,0,0,0.3655317494649209
19566,0,0,0.47846149543146
1753,1,0,0.2194752770280557
45305,0,1,0.7980940463823535
62552,1,0,0.23690922742318724
46005,0,0,0.3022576374931451
12463,1,1,0.7507817006871895
66049,1,0,0.31664074777731577
54977,0,0,0.2287329489754217
56124,1,0,0.2952490647045061
71540,0,0,0.22886248451975647
29495,0,1,0.597275048977983
39904,1,1,0.5943221829986698
38123,0,1,0.7150626404813559
48930,1,1,0.6858599405791086
38096,0,1,0.7725678742240585
92701,0,0,0.3366800319764082
32871,1,1,0.9323545644363279
55410,0,0,0.11677951576416913
80366,1,1,0.9062253820873812
18113,1,1,0.7904381548555122
51535,1,1,0.8446087749980965
20050,0,0,0.10945304976707354
49077,1,1,0.870651316955476
8879,1,1,0.7138076633740552
32388,0,0,0.24456026158966462
99198,0,1,0.5770039321439212
33351,1,1,0.8191846467762536
77931,0,0,0.05103593702980866
39028,0,0,0.1584875656799879
33348,0,1,0.5481895261597142
25294,0,0,0.09967658628911343
6335,1,1,0.7502928585125364
54632,0,0,0.034601797959619415
27558,0,0,0.36801836200107296
15500,1,1,0.8673048236646878
10733,1,1,0.7893374757667418
46979,0,0,0.042571638432278194
54776,1,1,0.8238576729165851
80782,1,0,0.1921291199037066
97444,0,0,0.2403830563020145
36918,0,0,0.06586679733224257
20634,0,0,0.0805747640982731
46797,0,0,0.03406073772448919
86916,0,1,0.5474962440385943
60462,0,0,0.05607492831447578
18840,1,1,0.9232269831193243
82372,0,1,0.7149902493708327
89362,0,0,0.0774365535503172
46753,1,1,0.6406185311855257
39103,0,0,0.05200478814093809
86413,0,0,0.11575897122417499
13847,1,1,0.764530142289224
82865,0,0,0.3715808945099192
89579,0,0,0.11786571087780316
65447,1,1,0.9171153385439977
11346,1,1,0.822412345522268
45878,0,0,0.4346483301283239
37713,0,0,0.1199450406100295
41811,1,1,0.8108127341411439
26392,1,1,0.7256757115370821
89029,1,0,0.33672793802235323
13721,0,1,0.6242155617471679
72616,1,1,0.6352642985572248
65146,1,1,0.9389885841505909
83869,0,0,0.44673356405033293
5123,0,1,0.864748221127684
60318,0,0,0.10804468491247755
24385,0,0,0.3768344283390751
98177,0,0,0.49477048278722197
13061,0,0,0.13931226343254927
46692,0,0,0.3254274881405441
48041,0,0,0.11512706310371533
9585,1,1,0.8295007690810343
75308,0,1,0.6286712359011107
86887,1,0,0.31696167082069243
31245,0,1,0.6388988408679834
38486,0,0,0.10342471547212839
4893,0,0,0.22368512690630038
45655,1,1,0.7329273529888907
27852,1,0,0.46108528004085636
72892,0,0,0.06776214108593347
65554,1,1,0.6881716403949247
78261,0,0,0.0847588489232484
90792,0,0,0.15467473571456272
69733,0,0,0.4611687524799529
78437,0,0,0.14024202490275237
44430,0,0,0.1669202375709713
77522,1,0,0.3985794269996943
28270,0,1,0.6168652095735798
49041,0,1,0.68668385158728
58046,0,1,0.51519930689283
26959,0,0,0.12879018269403072
11130,1,1,0.6804954395676203
88199,0,1,0.7399259036195475
70432,0,1,0.7080965925171836
40708,0,0,0.09770549520099057
39397,0,0,0.49965220878177186
93917,0,0,0.054742741043618766
22163,0,1,0.8142359316503479
53649,0,1,0.6343595663783999
66340,1,1,0.8724292693755936
99362,0,0,0.06465930910738801
48927,0,0,0.13017986191202488
85758,0,1,0.6706790176741445
66998,0,0,0.03869020460105968
63335,0,0,0.061038628298008435
11916,1,0,0.19318897844366273
55326,0,1,0.5090735239546405
46077,0,0,0.3561752064797384
65095,1,1,0.7477959853283854
86338,1,0,0.44728271833346284
40726,1,1,0.8269998702892171
65402,0,0,0.15345532878396992
23394,1,1,0.9158913645852804
77857,0,0,0.48353599857682633
10926,0,0,0.37659721249059713
22143,0,1,0.8539189371505064
30242,0,1,0.7590328805047767
83997,0,0,0.24973314944280833
28708,0,0,0.3263580403104374
73140,0,0,0.27298422296163066
21302,1,1,0.7872371197110484
94682,0,1,0.7048860988127504
90711,0,1,0.5083154255904806
38344,0,0,0.1013799559856057
58918,0,0,0.2444546661775929
94420,0,0,0.04216488692397367
90627,0,1,0.6038795309194388
12645,0,0,0.20225939324935838
32297,1,1,0.8642373480832822
49292,0,0,0.3516081288696146
34769,1,1,0.8630451993486805
54392,0,1,0.8056377489557356
1605,1,1,0.7736015936841661
65140,1,1,0.7871787567061895
44257,1,1,0.9500790123384254
7807,1,0,0.4438931714319074
35642,1,1,0.5169558610030439
45132,1,1,0.8947902128097284
36323,1,1,0.7487649864651386
4444,0,0,0.28016947232638695
84698,1,1,0.740974262162108
81470,0,0,0.22097323971872457
72851,1,1,0.7117426749484936
20706,1,1,0.8016439615924137
21636,0,0,0.043852780747327166
82001,0,0,0.29538572763376464
10670,0,0,0.41588615454073885
7183,0,1,0.6917346538584099
97878,0,0,0.26891421335666443
23587,1,1,0.914956627449645
3903,0,0,0.110387023050852
21111,0,0,0.06649174377576603
39893,1,1,0.8753804810423291
10136,0,0,0.06242836104285085
92561,1,0,0.4837724244896932
54615,0,0,0.18500822617784402
36152,1,0,0.44357574760051327
87369,1,1,0.8438538973234654
60238,0,0,0.3856901017687974
32579,1,1,0.9558571741412597
17223,0,1,0.6744323247168841
50700,0,0,0.39742699547324034
42511,0,0,0.04585450596666098
72026,0,0,0.4052793718261603
59688,0,0,0.26316213166642716
79210,1,0,0.3875616230813078
79150,0,0,0.11719028644183402
96281,0,0,0.49731921315591454
50469,1,0,0.4444311203066406
17405,1,1,0.8478483036571175
82776,1,0,0.3168929263014716
90925,1,1,0.7232833310737442
56166,0,0,0.03650015089862796
60591,0,0,0.03967314278066886
40883,0,0,0.15458881703132704
44895,0,0,0.3213673474919078
1958,0,0,0.35128614341461006
86759,0,0,0.07450820859336355
33059,1,1,0.7703794103360513
36860,0,0,0.2651865757355277
17058,0,0,0.2172844372144701
98715,0,0,0.138945068865528
3007,0,0,0.04991859456868687
86799,1,1,0.8796920759235458
32240,1,1,0.5204034204212399
77568,0,0,0.1547245734557464
34461,1,0,0.3963623225268718
69140,0,0,0.47986833932800055
53370,1,1,0.819525433560437
7814,0,0,0.19843742578029686
85443,0,0,0.07957887203177201
3900,1,0,0.340555114752107
16852,1,1,0.8072680882111712
59626,0,0,0.24971736449940396
92819,0,0,0.08382036005976769
15281,0,0,0.3159748984063804
81164,1,1,0.8808248219819118
35129,0,0,0.061670923561034346
65048,0,0,0.37435380102561294
82388,0,0,0.056243107841804106
84328,0,0,0.037523831657478475
99349,0,1,0.6367905124500486
49050,1,1,0.7791013881543725
71215,1,1,0.6108387105825969
9098,1,1,0.9387192252819664
43129,1,0,0.39665317632452846
98303,1,0,0.2925274992169761
24105,0,1,0.9000955565955503
73434,0,0,0.4705501056707841
78564,0,0,0.22014240354947484
61501,0,0,0.26499375351925863
76296,0,0,0.23330829549665305
77150,0,1,0.5422739107389458
81243,0,1,0.8612842929101654
4013,0,0,0.1448601955538204
37789,1,1,0.8663100411299702
70992,1,1,0.5762727961156763
2507,0,1,0.7543864929790172
29181,0,0,0.1719068198820302
3251,0,0,0.08635291406945747
51971,0,1,0.5190350053966504
48455,1,1,0.6143529518025392
6048,1,1,0.9035791118463986
81626,0,0,0.2776346505385347
28073,1,1,0.8432776932970112
83455,1,1,0.6644100860716662
67005,1,1,0.7469159664473929
91187,1,1,0.804177704024511
18078,0,0,0.10919737905479303
51589,0,1,0.6762005203830305
24162,0,0,0.32751299041580495
44381,0,0,0.48846721044893243
25757,1,1,0.7586383968485139
38761,0,0,0.0627784908863548
56425,0,0,0.06572159835781075
61760,0,0,0.15243017351105856
9797,0,0,0.3195669108514413
83576,0,0,0.04445331319851556
25073,0,0,0.20421943795817138
