model,feature_set,C,class_weight,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
Logistic Regression Tuned,full,0.01,balanced,0.773975,0.003305440590904647,11,0.6670237983697097,0.0035493019711830007,11,0.7872432221959459,0.006158700928356997,2,0.7221597949982266,0.004388078329305877,1,0.8588368248530749,0.0031849956573175675,4,0.2141965389251709,0.006437554747585659,0.05859699249267578,0.0013512746356050727
Logistic Regression Tuned,full,1.0,balanced,0.7740125,0.0031047846141077484,7,0.6671382635821651,0.003296309573502817,7,0.7870422396131834,0.006383850150466212,3,0.7221403869869293,0.004228554811096367,2,0.8588319018737774,0.00318150726655707,10,0.21565752029418944,0.003259064635987843,0.058755111694335935,0.0009379847170537972
Logistic Regression Tuned,full,10.0,balanced,0.7740125,0.0031047846141077484,7,0.6671382635821651,0.003296309573502817,7,0.7870422396131834,0.006383850150466212,3,0.7221403869869293,0.004228554811096367,2,0.8588323360526091,0.0031818633933773975,8,0.2152252197265625,0.004288625340471311,0.058614253997802734,0.0012072129098254667
Logistic Regression Tuned,full,100.0,balanced,0.774,0.003110215024720989,9,0.6671191408477727,0.0032962185279107707,10,0.7870422396131834,0.006383850150466212,3,0.7221292797039136,0.004236629817677202,4,0.8588323093370814,0.0031818372663093,9,0.21460566520690919,0.0028018620062544345,0.05915703773498535,0.0010097389383573682
Logistic Regression Tuned,full,0.1,balanced,0.774,0.0031528756715100545,9,0.6671290278972968,0.0033720793321315567,9,0.7870087331650717,0.006334655881102375,6,0.7221211373371121,0.00426065438440814,5,0.8588379840715655,0.003177987185707947,2,0.21149883270263672,0.0031898590914381042,0.05853123664855957,0.0007462076839269906
Logistic Regression Tuned,full,0.001,balanced,0.773025,0.003427280262832333,12,0.6651484400451985,0.003719287701416126,12,0.7888177335064761,0.005907631630223307,1,0.7217203614023235,0.004449871546585234,6,0.8583789461178842,0.003240376065760641,12,0.20992727279663087,0.004931569405510786,0.05835227966308594,0.00039255143439860665
Logistic Regression Tuned,full,0.01,none,0.7870875,0.0038315303731015797,2,0.7352478774033665,0.005652338559141388,2,0.6710325759316317,0.005921802383315254,7,0.7016690200818754,0.005516142116184784,7,0.8588461333611848,0.0031814499386874154,1,0.1986793041229248,0.0036750396261757386,0.05782861709594726,0.000654566412068949
Logistic Regression Tuned,full,100.0,none,0.7869,0.003778351161551832,3,0.7350411984394261,0.00586788853492944,3,0.6706641116036275,0.005613954565195671,8,0.7013716994731773,0.005315064624124607,8,0.8588335982088185,0.003182967523273737,7,0.21088204383850098,0.002748583345971072,0.05873680114746094,0.0010979178725831348
Logistic Regression Tuned,full,1.0,none,0.7868875,0.003766920161086504,4,0.7350142049142018,0.0058501390668138495,5,0.6706641116036275,0.005613954565195671,8,0.7013593461196235,0.005302209530831492,9,0.8588343096310375,0.0031828694287113803,5,0.21359691619873047,0.0052790985910863356,0.05857553482055664,0.0016233941226778059
Logistic Regression Tuned,full,10.0,none,0.7868875,0.003766920161086504,4,0.7350142049142018,0.0058501390668138495,5,0.6706641116036275,0.005613954565195671,8,0.7013593461196235,0.005302209530831492,9,0.8588337084331801,0.0031830079968141424,6,0.21274175643920898,0.0025116759379486936,0.05876822471618652,0.001271253125780094
Logistic Regression Tuned,full,0.1,none,0.786875,0.0036774226708389253,6,0.7350206288125978,0.005662047007763243,4,0.6705971267603579,0.005710456899835789,11,0.7013250474825368,0.005232625200947197,11,0.8588374792974749,0.003182280938960806,3,0.20669426918029785,0.003529664179187317,0.05812149047851563,0.0007481128765629393
Logistic Regression Tuned,full,0.001,none,0.7872250000000001,0.0041710685081882744,1,0.7370113817369813,0.006365933280710697,1,0.668218600959916,0.005924120460293524,12,0.7009265513469177,0.005875748363982508,12,0.8583849378715627,0.0032401891215204856,11,0.2162874698638916,0.005028657834541944,0.06008105278015137,0.0018775134183636505
